1,12
2,5
3,8
4,12
5,4
6,4
7,10
8,2
9,11
10,12
11,9
12,11
13,6
14,1
15,12
16,5
17,7
18,6
19,5
20,5
21,3
22,12
23,1
24,3
25,1
26,3
27,1
28,4
29,7
30,5
31,8
32,3
33,3
34,7
35,6
36,4
37,11
38,8
39,1
40,1
41,6
42,1
43,2
44,6
45,11
46,3
47,10
48,4
49,9
50,5
51,4
52,3
53,8
54,2
55,7
56,8
57,4
58,3
59,12
60,3
61,2
62,7
63,7
64,9
65,2
66,6
67,1
68,5
69,8
70,8
71,12
72,6
73,8
74,10
75,2
76,2
77,1
78,9
79,2
80,7
81,9
82,1
83,2
84,12
85,11
86,12
87,1
88,6
89,4
90,5
91,2
92,1
93,6
94,10
95,11
96,9
97,7
98,6
99,11
100,3
101,8
102,4
103,5
104,10
105,3
106,4
107,4
108,11
109,12
110,4
111,4
112,4
113,3
114,7
115,2
