1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,11
32,11
33,11
34,11
35,11
36,11
37,11
38,11
39,11
40,11
41,9
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,14
62,14
63,14
64,14
65,14
66,14
67,14
68,14
69,14
70,14
71,15
72,15
73,15
74,15
75,15
76,15
77,15
78,15
79,15
80,15
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,8
130,8
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,13
142,13
143,13
144,13
145,13
146,13
147,13
148,13
149,13
150,13
